customer_id,customer_name,email,country,region_id,signup_date
1,Alex Spencer,alex.spencer760@hotmail.com,Rwanda,41,2024-04-02
2,Benjamin Welch,benjamin.welch759@gmail.com,Rwanda,48,2023-06-28
3,Andre Rivera,,Kenya,28,2023-07-11
4,Diana Washington,diana.washington28@hotmail.com,Ghana,15,2026-01-21
5,Timothy Duncan,timothy.duncan285@yahoo.com,Ghana,15,2023-01-14
6,John Russell,john.russell285@gmail.com,Rwanda,45,2024-11-20
7,Jeffrey Henderson,jeffrey.henderson368@yahoo.com,Nigeria,6,2026-05-21
8,Amy Valdez,amy.valdez550@hotmail.com,Nigeria,3,2025-02-14
9,James Morgan,james.morgan644@gmail.com,South Africa,36,2025-01-10
10,Connor West,connor.west47@yahoo.com,Ghana,13,2024-08-15
11,Joel Baxter,joel.baxter390@gmail.com,Ghana,15,2025-01-17
12,Scott Pierce,scott.pierce687@gmail.com,Kenya,24,2023-05-27
13,Kimberly Smith,kimberly.smith747@gmail.com,Rwanda,41,2025-08-04
14,Sarah Martin,sarah.martin656@yahoo.com,Ghana,18,2024-03-25
15,Dr. Steven Martin,dr..steven.martin235@gmail.com,Rwanda,50,2024-10-08
16,Mrs. Rachel Gibson,mrs..rachel.gibson936@yahoo.com,Ghana,18,2024-10-06
17,Monica Logan,monica.logan906@hotmail.com,Rwanda,42,2025-07-28
18,Brittney Phillips,brittney.phillips763@gmail.com,Ghana,17,2024-06-22
19,Kimberly Adkins,kimberly.adkins409@gmail.com,Kenya,28,2023-10-11
20,John Calhoun,john.calhoun49@hotmail.com,South Africa,32,2023-11-10
21,Tyler Miller,tyler.miller433@gmail.com,Ghana,11,2025-02-27
22,Barry Hensley,barry.hensley542@yahoo.com,South Africa,39,2026-02-07
23,Steve Sanchez,steve.sanchez699@hotmail.com,Rwanda,44,2024-06-30
24,Bradley Sandoval,bradley.sandoval446@hotmail.com,Kenya,22,2023-01-07
25,Taylor Harris,taylor.harris520@hotmail.com,South Africa,33,2024-09-03
26,Derek Anderson,derek.anderson157@hotmail.com,South Africa,33,2023-11-27
27,Eugene Walton,EUGENE.WALTON941@GMAIL.COM,Rwanda,50,2024-10-25
28,Marc Hart,marc.hart372@gmail.com,Nigeria,2,2024-09-21
29,Daniel Baker,daniel.baker581@yahoo.com,Nigeria,4,2023-06-25
30,Sherry Wood,sherry.wood546@gmail.com,Nigeria,5,2023-09-20
31,Joshua Turner,joshua.turner541@hotmail.com,South Africa,36,2025-05-16
32,Mary Spencer,mary.spencer707@hotmail.com,South Africa,35,2024-09-30
33,Shawn Baker,shawn.baker449@gmail.com,Rwanda,43,2025-07-13
34,Brittney Campbell,BRITTNEY.CAMPBELL347@GMAIL.COM,Ghana,16,2026-02-08
35,Christina Walters,christina.walters73@yahoo.com,South Africa,38,2023-05-01
36,Danielle Odonnell,danielle.odonnell881@gmail.com,Nigeria,5,2025-11-18
37,Jeff Hill,jeff.hill220@gmail.com,Ghana,18,2026-03-15
38,Carlos Whitney,carlos.whitney485@gmail.com,South Africa,31,2024-01-25
39,Kristen Patterson,kristen.patterson363@gmail.com,Nigeria,7,2025-08-14
40,Tony Vazquez,tony.vazquez662@gmail.com,Rwanda,44,2025-04-04
41,Sandra Aguilar,sandra.aguilar195@gmail.com,Nigeria,7,2023-10-15
42,Andrew Diaz,andrew.diaz256@gmail.com,Ghana,12,2023-06-04
43,Christine Wright,christine.wright668@gmail.com,South Africa,36,2023-01-31
44,Justin Baxter,justin.baxter171@hotmail.com,Rwanda,49,2025-09-12
45,Tammy Young,tammy.young169@gmail.com,Kenya,26,2025-03-10
46,Rita Keith,rita.keith714@gmail.com,Kenya,30,2026-02-12
47,Tim Patton,tim.patton223@yahoo.com,Nigeria,10,2026-04-01
48,Sharon Cochran,sharon.cochran59@yahoo.com,Nigeria,4,2025-09-03
49,Michael Reyes,michael.reyes984@gmail.com,South Africa,34,2024-01-16
50,Courtney Velasquez,courtney.velasquez883@yahoo.com,South Africa,39,2023-09-03
51,Robert Savage,robert.savage41@gmail.com,Ghana,16,2025-05-08
52,Corey Murphy,corey.murphy324@gmail.com,South Africa,38,2024-02-23
53,Diana May,diana.may135@yahoo.com,Ghana,16,2024-09-06
54,Sarah Rivera,sarah.rivera959@gmail.com,Kenya,21,2025-07-27
55,Wesley White,wesley.white76@yahoo.com,South Africa,37,2025-11-02
56,Kyle Reed,kyle.reed903@yahoo.com,Nigeria,9,2024-05-15
57,William Wilson,william.wilson854@hotmail.com,Ghana,19,2024-09-11
58,Andrew Graham,andrew.graham684@hotmail.com,Rwanda,42,2024-09-05
59,Kimberly Ball,kimberly.ball912@hotmail.com,Nigeria,9,2026-02-07
60,Christina Reynolds,christina.reynolds216@hotmail.com,Ghana,18,2024-02-21
61,Lisa Alvarado,lisa.alvarado258@gmail.com,Ghana,17,2023-04-15
62,Elizabeth Parker,elizabeth.parker284@yahoo.com,Rwanda,41,2024-11-14
63,Michael Spencer,michael.spencer166@gmail.com,Rwanda,41,2026-02-03
64,Todd Byrd,,South Africa,36,2023-06-04
65,Lisa Turner,,South Africa,35,2025-01-26
66,April Mitchell,april.mitchell131@yahoo.com,South Africa,36,2025-01-16
67,Lisa Morris,lisa.morris256@yahoo.com,Kenya,23,2024-12-25
68,Daniel Kennedy,daniel.kennedy768@hotmail.com,Kenya,27,2024-04-29
69,Bradley Robertson,bradley.robertson26@hotmail.com,Ghana,12,2024-11-11
